Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
0,run2,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
0,run3,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
0,run4,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
0,run5,1129923770,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
10,run1,1308623005,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
10,run2,1308474183,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
10,run3,1308802366,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
10,run4,1308250701,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
10,run5,1308444385,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
20,run1,1528959501,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
20,run2,1530518852,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
20,run3,1530322848,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
20,run4,1530349414,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
20,run5,1530264454,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
30,run1,1809194749,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
30,run2,1811657220,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
30,run3,1809993472,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
30,run4,1811431563,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
30,run5,1811216846,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
40,run1,1850179969,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
40,run2,1854248650,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
40,run3,1848970103,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
40,run4,1852512814,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
40,run5,1852328031,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
50,run1,1994345028,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
50,run2,1995747140,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
50,run3,1991973551,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
50,run4,1993109758,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
50,run5,2005931769,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
60,run1,2283903306,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
60,run2,2285404287,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
60,run3,2281513685,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
60,run4,2275827665,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
60,run5,2291764751,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
70,run1,2588518412,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
70,run2,2589377912,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
70,run3,2588320631,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
70,run4,2578621582,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
70,run5,2595665688,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
80,run1,2641573786,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
80,run2,2642254157,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
80,run3,2638954109,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
80,run4,2631845311,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
80,run5,2642934347,MIROC-ESM-CHEM_RCP45,RCP45,Resilience
